	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1944	7	14	1	0	26	11	14	22	36	7	15	24	16	18	13	1	30	21	156	47	11	5	1	0	2	0	4	0	0	0	0	0
OTU1945	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1946	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1948	0	0	1	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	5	2	5	0	1
OTU1949	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU195	0	0	1	1	84	262	25	44	16	17	20	8	6	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1950	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1952	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0
OTU1953	0	0	0	0	0	0	5	3	0	4	2	5	6	3	1	1	0	0	1	0	4	1	1	0	6	2	2	1	2	2	1	3
OTU1954	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU1957	2	2	14	69	210	297	251	272	174	56	129	50	37	35	57	12	45	50	5	4	7	12	11	1	1	13	26	37	4	74	30	6
OTU1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
OTU1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU196	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1960	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1961	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1962	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1963	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	1	0
OTU1964	0	3	3	2	0	0	0	0	0	1	0	0	0	0	0	7	3	8	8	4	3	4	0	0	7	14	9	12	0	0	0	0
OTU1965	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1966	258	278	31	7	18	42	6	5	7	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU1967	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1968	4	8	5	15	26	6	16	4	16	22	9	9	4	25	32	25	40	36	55	24	72	25	58	20	58	40	55	46	5	17	20	11
OTU1969	0	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	4	1
OTU197	22	71	80	4	38	9	5	18	38	1	2	3	0	7	112	45	46	133	148	105	58	25	107	7	86	66	17	23	4	19	0	0
OTU1970	19	14	13	7	42	39	14	21	19	55	33	22	7	2	6	0	19	0	1	8	1	0	1	0	2	30	4	30	12	24	18	14
OTU1971	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1972	13	6	10	3	7	8	1	2	2	4	16	17	9	7	2	14	17	22	36	38	19	144	29	11	12	42	45	40	131	12	22	14
OTU1973	1	0	6	3	30	17	16	16	39	25	20	6	1	5	7	0	1	2	8	2	2	0	4	0	1	2	4	0	0	0	1	0
OTU1974	1	5	2	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0
OTU1976	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
