#OTU	S0701	S0702	S0703	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1185	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
OTU1382	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0
OTU1250	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	4	0	1	1	0	1	1	0	0	0	0	0	1	2	1
OTU696	0	0	0	3	5	5	6	1	3	3	1	4	9	2	3	3	2	1	4	1	5	5	9	1	5	0	2	5	3	3
OTU227	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1098	10	12	18	9	11	18	18	16	37	29	45	23	24	25	14	20	30	29	23	12	24	28	17	9	22	37	30	38	25	31
OTU118	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0
OTU1398	0	1	1	0	12	2	1	5	1	0	7	54	29	5	1	8	10	1	12	2	5	23	2	5	37	16	4	27	15	6
OTU378	0	0	0	0	4	6	5	2	1	8	2	0	0	0	2	1	0	1	1	1	0	4	0	0	2	0	4	1	0	2
OTU1360	2	2	3	2	1	6	4	3	2	8	7	5	7	14	16	14	23	16	13	4	5	4	2	2	11	18	26	13	33	5
OTU1337	1	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	15	2
OTU643	0	0	0	0	1	1	1	1	1	1	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	93	0
OTU1305	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	2	1	1	0	1	0	3	0	0	1	16	0
OTU785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
