	Name	within_module_connectivities	among_module_connectivities	modularity	type
256	POTU558	-1.00384402	1	3	Connectors
257	POTU570	-0.945846265	1	2	Connectors
258	POTU571	3.494640539	0.464285714	6	Module hubs
259	POTU572	-0.415123467	0.638888889	3	Connectors
260	POTU576	0.762317639	0.62890625	3	Connectors
261	POTU582	-0.807603836	0.75	3	Connectors
262	POTU583	-1.00384402	0.75	3	Connectors
263	POTU604	0.354619185	0.6875	1	Connectors
264	POTU623	0	0.75	9	Connectors
265	POTU625	0.42407931	0.64453125	2	Connectors
266	POTU639	-0.774605568	0.75	2	Connectors
267	POTU640	1.154700538	0.777777778	13	Connectors
268	POTU645	0.836333398	0.703125	5	Connectors
269	POTU662	1.743518561	0.643554688	3	Connectors
270	POTU680	-0.807603836	0.6875	3	Connectors
271	POTU691	-0.945846265	1	2	Connectors
272	POTU700	-1.149271281	0.75	4	Connectors
273	POTU705	-0.418166699	0.777777778	5	Connectors
274	POTU722	-0.774605568	0.75	2	Connectors
275	POTU731	-1.00384402	1	3	Connectors
276	POTU734	-0.774605568	0.75	2	Connectors
277	POTU744	-0.807603836	0.75	3	Connectors
278	POTU751	-0.857175981	0.75	6	Connectors
279	POTU753	-0.774605568	0.6875	2	Connectors
280	POTU756	2.883208156	0.421875	1	Module hubs
281	POTU773	-0.611363651	0.6875	3	Connectors
282	POTU794	0.354619185	0.6875	1	Connectors
283	POTU795	-1.045416747	1	5	Connectors
284	POTU803	-0.277528058	0.777777778	1	Connectors
285	POTU812	0.42407931	0.63671875	2	Connectors
286	POTU813	-0.9096753	1	1	Connectors
287	POTU819	-0.9096753	1	1	Connectors
288	POTU820	-1.00384402	1	3	Connectors
289	POTU821	-1.149271281	0.75	4	Connectors
290	POTU825	-0.9096753	1	1	Connectors
291	POTU826	-0.774605568	0.75	2	Connectors
292	POTU827	-0.857175981	0.75	6	Connectors
293	POTU831	1.318732279	0.62962963	6	Connectors
294	POTU842	-0.945846265	1	2	Connectors
295	POTU896	-0.774605568	0.777777778	2	Connectors
296	POTU905	-0.603364871	0.638888889	2	Connectors
297	POTU927	-0.900630859	0.671875	4	Connectors
298	POTU929	0.354619185	0.6875	1	Connectors
299	POTU955	-0.418166699	0.777777778	5	Connectors
300	POTU964	-0.807603836	0.75	3	Connectors
301	POTU97	-0.277528058	0.694444444	1	Connectors
302	POTU98	-1.232151421	1	4	Connectors
303	POTU982	-0.945846265	1	2	Connectors
304	POTU995	-0.857175981	1	6	Connectors
